name,description,stand_id,category,brands,is_not_on_map,festival_city,festival_slug
Distilleerderij de Bronckhorst,"Ambachtelijke Nederlandse single malt whisky, ter plaatse gedistilleerd in de Achterhoek.",1,dutch,Nederlandse Whisky,Nee,Den Haag,den-haag
Mitra,Mitra slijterijen presenteert een gevarieerde selectie van bekende en zeldzame whisky's.,2,world,Merken volgen later,Nee,Den Haag,den-haag
Bresser en Timmer,Toonaangevende importeur van craft spirits. Is 1 stand geworden (stand 3 & 4) t.o.v. 2025.,3,scotch,"Craft Spirits, Merken volgen later",Nee,Den Haag,den-haag
Bresser en Timmer,Toonaangevende importeur van craft spirits. Is 1 stand geworden (stand 3 & 4) t.o.v. 2025.,4,scotch,"Craft Spirits, Merken volgen later",Nee,Den Haag,den-haag
Cley Whisky + Cley Warehouse,Rotterdamse craft distilleerderij die eigentijdse single malt en rye whisky's maakt met lokaal graan.,5,dutch,Nederlandse Whisky (Rotterdam),Nee,Den Haag,den-haag
SMWS (Scotch Malt Whisky Society),De Schotse Malt Whisky Society biedt exclusieve single cask bottelingen voor clubleden.,6,world,Whisky Club,Nee,Den Haag,den-haag
De Monnik Dranken,Familiebedrijf en importeur met een prachtig portfolio aan Schotse single malts.,7,scotch,Merken volgen later,Nee,Den Haag,den-haag
Whisky Import Nederland (WIN),Importeur van exclusieve onafhankelijke bottelingen.,8,independent,Merken volgen later,Nee,Den Haag,den-haag
Cane & Grain,Onafhankelijke bottelingen en unieke single casks.,9,independent,Merken volgen later,Nee,Den Haag,den-haag
Anker Amsterdam Spirits,Groothandel en importeur van diverse dranken en spirits.,10,world,Merken volgen later,Nee,Den Haag,den-haag
Diageo,"Klassieke Schotse single malts, van de zachte Singleton tot de intens rokerige Lagavulin en maritieme Talisker.",11,scotch,"Singleton, Talisker, Lagavulin",Nee,Den Haag,den-haag
Van Wees Holland,Bekende importeur uit Amersfoort met een rijk aanbod aan onafhankelijke bottelingen.,12,independent,Merken volgen later,Nee,Den Haag,den-haag
Maltstock,"Het gezelligste whisky-weekend ter wereld, met proeverijen en trail-begeleiding.",13,world,"Whisky Club, Trail begeleiders",Nee,Den Haag,den-haag
Brouwers2Import,Importeur van diverse internationale whisky's en gedistilleerd.,14,world,"Merken volgen later, Ardbeg, Glenmorangie",Nee,Den Haag,den-haag
Moët Hennessy,De ultieme Islay malts Ardbeg en de verfijnde Glenmorangie uit de hoogste ketels van Schotland.,15,scotch,"Ardbeg, Glenmorangie",Nee,Den Haag,den-haag
Trade in Spirits,Importeur van diverse premium spirits.,16,world,Merken volgen later,Nee,Den Haag,den-haag
