title,ticket_description,category,price,date_label,time_label,day,daypart,location,booking_type,capacity,sold,is_sold_out,status_badge,festival_city,festival_slug,ambassador_name,ambassador_title,ambassador_bio,tasting_lineup
"Entree Zaterdagmiddag","Beleef het Amsterdam Whisky Festival in de prachtige locatie van De Hallen. Geniet 4 uur lang van honderden whisky's, distilleerders en de unieke sfeer.","entree","39.95","Zaterdag 16 Jan 2027","13:00 - 17:00 uur","zaterdag","middag","De Hallen Amsterdam","vrij_te_boeken","575","0","false","none","amsterdam","amsterdam","Amsterdam Festival Team","Festival Host","Ons team heet u van harte welkom in De Hallen Amsterdam.","Officieel Glencairn festival proefglas, Vrije toegang tot alle beursstands en distilleerders, Talloze gratis te proeven drams op de beursvloer, Compleet festival programmaboekje met plattegrond"
"Entree Zaterdagavond","Sfeervolle avondsessie in De Hallen Amsterdam met intieme verlichting, live doedelzakmuziek en topselectie drams.","entree","39.95","Zaterdag 16 Jan 2027","19:00 - 23:00 uur","zaterdag","avond","De Hallen Amsterdam","vrij_te_boeken","575","0","false","none","amsterdam","amsterdam","Amsterdam Festival Team","Festival Host","Ons team heet u van harte welkom in De Hallen Amsterdam.","Officieel Glencairn festival proefglas, Vrije toegang tot alle beursstands en distilleerders, Talloze gratis te proeven drams op de beursvloer, Compleet festival programmaboekje met plattegrond"
"Glen Scotia 5YO 1st fill Oloroso Hogshead Cask","Een buitengewone single cask botteling van Glen Scotia, gerijpt op een first fill Oloroso Hogshead cask. Rijk aan gedroogd fruit, maritieme ziltigheid en diepe kruidigheid.","botteling","82.50","Zaterdag 16 Jan 2027","Gehele festivaldag","zaterdag","all","Festival Info Desk (Alleen afhalen op festival)","vrij_te_boeken","40","0","false","limited","amsterdam","amsterdam","Glen Scotia Distillery","Campbeltown Single Malt","De legendarische distilleerderij uit Campbeltown presenteert deze exclusieve festivalrelease.","70cl Fles Single Cask Glen Scotia 5YO, First Fill Oloroso Sherry Hogshead Finish, Cask Strength botteling zonder koude filtratie, Individueel genummerd flescertificaat"
"Masterclass Middag Sessie 1","Intieme masterclass van 45 minuten onder leiding van een internationale whisky ambassador in De Hallen.","masterclass","25.00","Zaterdag 16 Jan 2027","12:00 - 12:45 uur","zaterdag","middag","Masterclass Zaal De Hallen","enkel_met_entree","30","0","false","comingsoon","amsterdam","amsterdam","Brand Ambassador","Distillery Specialist","Programma en line-up worden binnenkort bekendgemaakt.","4 tot 5 exclusieve proefdrams, Deskundige uitleg over het distilleerproces en houtrijping, Gelegenheid voor Q&A met de distilleerder"
"Masterclass Middag Sessie 2","Diepgaande proeverij met zeldzame expressies en deskundige toelichting in De Hallen.","masterclass","25.00","Zaterdag 16 Jan 2027","13:15 - 14:00 uur","zaterdag","middag","Masterclass Zaal De Hallen","enkel_met_entree","30","0","false","comingsoon","amsterdam","amsterdam","Brand Ambassador","Distillery Specialist","Programma en line-up worden binnenkort bekendgemaakt.","4 tot 5 exclusieve proefdrams, Deskundige uitleg over het distilleerproces en houtrijping, Gelegenheid voor Q&A met de distilleerder"
"Masterclass Middag Sessie 3","Diepgaande proeverij met zeldzame expressies en deskundige toelichting in De Hallen.","masterclass","25.00","Zaterdag 16 Jan 2027","14:30 - 15:15 uur","zaterdag","middag","Masterclass Zaal De Hallen","enkel_met_entree","30","0","false","comingsoon","amsterdam","amsterdam","Brand Ambassador","Distillery Specialist","Programma en line-up worden binnenkort bekendgemaakt.","4 tot 5 exclusieve proefdrams, Deskundige uitleg over het distilleerproces en houtrijping, Gelegenheid voor Q&A met de distilleerder"
"Masterclass Middag Sessie 4","Diepgaande proeverij met zeldzame expressies en deskundige toelichting in De Hallen.","masterclass","25.00","Zaterdag 16 Jan 2027","15:45 - 16:30 uur","zaterdag","middag","Masterclass Zaal De Hallen","enkel_met_entree","30","0","false","comingsoon","amsterdam","amsterdam","Brand Ambassador","Distillery Specialist","Programma en line-up worden binnenkort bekendgemaakt.","4 tot 5 exclusieve proefdrams, Deskundige uitleg over het distilleerproces en houtrijping, Gelegenheid voor Q&A met de distilleerder"
"Masterclass Avond Sessie 1","Diepgaande avondproeverij met exclusieve vaten en distilleerderijverhalen in De Hallen.","masterclass","25.00","Zaterdag 16 Jan 2027","18:00 - 18:45 uur","zaterdag","avond","Masterclass Zaal De Hallen","enkel_met_entree","30","0","false","comingsoon","amsterdam","amsterdam","Brand Ambassador","Distillery Specialist","Programma en line-up worden binnenkort bekendgemaakt.","4 tot 5 exclusieve proefdrams, Deskundige uitleg over het distilleerproces en houtrijping, Gelegenheid voor Q&A met de distilleerder"
"Masterclass Avond Sessie 2","Diepgaande avondproeverij met exclusieve vaten en distilleerderijverhalen in De Hallen.","masterclass","25.00","Zaterdag 16 Jan 2027","19:15 - 20:00 uur","zaterdag","avond","Masterclass Zaal De Hallen","enkel_met_entree","30","0","false","comingsoon","amsterdam","amsterdam","Brand Ambassador","Distillery Specialist","Programma en line-up worden binnenkort bekendgemaakt.","4 tot 5 exclusieve proefdrams, Deskundige uitleg over het distilleerproces en houtrijping, Gelegenheid voor Q&A met de distilleerder"
"Masterclass Avond Sessie 3","Diepgaande avondproeverij met exclusieve vaten en distilleerderijverhalen in De Hallen.","masterclass","25.00","Zaterdag 16 Jan 2027","20:30 - 21:15 uur","zaterdag","avond","Masterclass Zaal De Hallen","enkel_met_entree","30","0","false","comingsoon","amsterdam","amsterdam","Brand Ambassador","Distillery Specialist","Programma en line-up worden binnenkort bekendgemaakt.","4 tot 5 exclusieve proefdrams, Deskundige uitleg over het distilleerproces en houtrijping, Gelegenheid voor Q&A met de distilleerder"
"Masterclass Avond Sessie 4","De feestelijke afsluitende masterclass van het Amsterdam Whisky Festival in De Hallen.","masterclass","25.00","Zaterdag 16 Jan 2027","21:45 - 22:30 uur","zaterdag","avond","Masterclass Zaal De Hallen","enkel_met_entree","30","0","false","comingsoon","amsterdam","amsterdam","Brand Ambassador","Distillery Specialist","Programma en line-up worden binnenkort bekendgemaakt.","4 tot 5 exclusieve proefdrams, Deskundige uitleg over het distilleerproces en houtrijping, Gelegenheid voor Q&A met de distilleerder"
