ID;Categorie;Titel;Datum;Tijd;Prijs (€);Locatie;Dagdeel;Status;Uitverkocht;Beschrijving / Opties
"dh-entree-4-entree-vrijdagmiddag-vip";"entree";"VIP Sessie - Vrijdagmiddag";"Vrijdag 13 Nov 2026";"13:00 - 17:00 uur";"79.50";"Grote Kerk";"middag";"sold-out";"Ja";""
"dh-entree-5-entree-vrijdagavond";"entree";"Entree Vrijdagavond";"Vrijdag 13 Nov 2026";"19:00 - 23:00 uur";"55.00";"Grote Kerk";"avond";"";"Nee";""
"dh-entree-6-entree-zaterdagmiddag";"entree";"Entree Zaterdagmiddag";"Zaterdag 14 Nov 2026";"13:00 - 17:00 uur";"55.00";"Grote Kerk";"middag";"sold-out";"Ja";""
"dh-entree-7-entree-zaterdagavond";"entree";"Entree Zaterdagavond";"Zaterdag 14 Nov 2026";"19:00 - 23:00 uur";"55.00";"Grote Kerk";"avond";"sold-out";"Ja";""
"dh-entree-8-entree-zondagmiddag";"entree";"Entree Zondagmiddag";"Zondag 15 Nov 2026";"13:00 - 17:00 uur";"55.00";"Grote Kerk";"middag";"";"Nee";""
"dh-masterclass-29-macallan-torentasting-inc-bekl";"masterclass";"Macallan Torentasting (Inc. Beklimming)";"Vrijdag 13 Nov 2026";"11:15 - 13:00 uur";"77.50";"Toren-Zolder";"ochtend";"";"Nee";""
"dh-masterclass-30-macallan-torentasting-zonder-b";"masterclass";"Macallan Torentasting (Zonder Beklimming)";"Vrijdag 13 Nov 2026";"12:00 - 13:00 uur";"70.00";"Toren-Zolder";"ochtend";"";"Nee";""
"dh-masterclass-33-smws-single-cask-masterclass";"masterclass";"SMWS Single Cask Masterclass";"Vrijdag 13 Nov 2026";"12:15 - 13:00 uur";"25.00";"Foyer";"ochtend";"";"Nee";""
"dh-masterclass-31-teeling-whiskey-masterclass";"masterclass";"Teeling Whiskey Masterclass";"Vrijdag 13 Nov 2026";"12:15 - 13:00 uur";"20.00";"Spaarkamer";"ochtend";"";"Nee";""
"dh-masterclass-32-whisky-bites-dennis-mulder";"masterclass";"Whisky & Bites (Dennis Mulder)";"Vrijdag 13 Nov 2026";"12:15 - 13:00 uur";"27.50";"Telkamer";"ochtend";"";"Nee";""
"dh-masterclass-34-glenfiddich-old-timers-tony-va";"masterclass";"Glenfiddich Old Timers (Tony van Rooijen)";"Vrijdag 13 Nov 2026";"14:00 - 14:45 uur";"55.00";"Telkamer";"middag";"";"Nee";""
"dh-masterclass-35-glengoyne-tamdhu-masterclass";"masterclass";"Glengoyne & Tamdhu Masterclass";"Vrijdag 13 Nov 2026";"14:00 - 14:45 uur";"17.50";"Foyer";"middag";"";"Nee";""
"dh-masterclass-37-house-of-suntory-japanese-port";"masterclass";"House of Suntory: Japanese Portfolio";"Vrijdag 13 Nov 2026";"15:30 - 16:15 uur";"20.00";"Foyer";"middag";"";"Nee";""
"dh-masterclass-36-stokerij-sculte-masterclass";"masterclass";"Stokerij Sculte Masterclass";"Vrijdag 13 Nov 2026";"15:30 - 16:15 uur";"49.50";"Telkamer";"middag";"";"Nee";""
"dh-masterclass-39-the-balvenie-old-timers-tony-v";"masterclass";"The Balvenie Old Timers (Tony van Rooijen)";"Vrijdag 13 Nov 2026";"18:30 - 19:15 uur";"65.00";"Foyer";"avond";"";"Nee";""
"dh-masterclass-38-whisky-introductie-masterclass";"masterclass";"Whisky Introductie Masterclass";"Vrijdag 13 Nov 2026";"18:30 - 19:00 uur";"7.50";"Spaarkamer";"avond";"";"Nee";""
