title,description,category,price,date_label,time_label,day,daypart,location,booking_type,capacity,sold,is_sold_out,status_badge,festival_city,festival_slug,ambassador_name,ambassador_title,ambassador_bio,tasting_lineup
VIP Sessie - Vrijdagmiddag,,entree,79.5,Vrijdag 13 Nov 2026,13:00 - 17:00 uur,vrijdag,middag,,Vrij te boeken voor iedereen,850,850,Ja,sold-out,Den Haag,den-haag,,,,
Entree Vrijdagavond,,entree,55,Vrijdag 13 Nov 2026,19:00 - 23:00 uur,vrijdag,avond,,Vrij te boeken voor iedereen,1250,0,Nee,none,Den Haag,den-haag,,,,
Entree Zaterdagmiddag,,entree,55,Zaterdag 14 Nov 2026,13:00 - 17:00 uur,zaterdag,middag,,Vrij te boeken voor iedereen,1250,1250,Ja,sold-out,Den Haag,den-haag,,,,
Entree Zaterdagavond,,entree,55,Zaterdag 14 Nov 2026,19:00 - 23:00 uur,zaterdag,avond,,Vrij te boeken voor iedereen,1250,1250,Ja,sold-out,Den Haag,den-haag,,,,
Entree Zondagmiddag,,entree,55,Zondag 15 Nov 2026,13:00 - 17:00 uur,zondag,middag,,Vrij te boeken voor iedereen,1250,0,Nee,none,Den Haag,den-haag,,,,
Macallan Torentasting (Inc. Beklimming),,masterclass,77.5,Vrijdag 13 Nov 2026,11:15 - 13:00 uur,vrijdag,ochtend,Toren-Zolder,Vrij te boeken voor iedereen,20,0,Nee,none,Den Haag,den-haag,,,,
Macallan Torentasting (Zonder Beklimming),,masterclass,70,Vrijdag 13 Nov 2026,12:00 - 13:00 uur,vrijdag,ochtend,Toren-Zolder,Vrij te boeken voor iedereen,15,0,Nee,none,Den Haag,den-haag,,,,
SMWS Single Cask Masterclass,,masterclass,25,Vrijdag 13 Nov 2026,12:15 - 13:00 uur,vrijdag,ochtend,Foyer,Vrij te boeken voor iedereen,30,0,Nee,none,Den Haag,den-haag,,,,
Teeling Whiskey Masterclass,,masterclass,20,Vrijdag 13 Nov 2026,12:15 - 13:00 uur,vrijdag,ochtend,Spaarkamer,Vrij te boeken voor iedereen,21,0,Nee,none,Den Haag,den-haag,,,,
Whisky & Bites (Dennis Mulder),,masterclass,27.5,Vrijdag 13 Nov 2026,12:15 - 13:00 uur,vrijdag,ochtend,Telkamer,Vrij te boeken voor iedereen,30,0,Nee,none,Den Haag,den-haag,,,,
Glenfiddich Old Timers (Tony van Rooijen),,masterclass,55,Vrijdag 13 Nov 2026,14:00 - 14:45 uur,vrijdag,middag,Telkamer,Vrij te boeken voor iedereen,30,0,Nee,none,Den Haag,den-haag,,,,
Glengoyne & Tamdhu Masterclass,,masterclass,17.5,Vrijdag 13 Nov 2026,14:00 - 14:45 uur,vrijdag,middag,Foyer,Vrij te boeken voor iedereen,30,0,Nee,none,Den Haag,den-haag,,,,
