title,ticket_description,category,price,date_label,time_label,day,daypart,location,booking_type,capacity,sold,is_sold_out,status_badge,festival_city,festival_slug,ambassador_name,ambassador_title,ambassador_bio,tasting_lineup
"Entreeticket Vrijdagavond 19:00 - 23:00","Toegang tot het Gents Whisky Festival in De Oude Vismijn inclusief Glencairn festivalglas en gratis proefdrams.","entree","42.50","Vrijdag 2 Okt 2026","19:00 - 23:00 uur","vrijdag","avond","De Oude Vismijn Gent","Vrij te boeken voor iedereen","450","0","Nee","none","gent","gent","Gents Festival Team","Festival Host","Ons team heet u van harte welkom in het historische hart van Gent.","Glencairn proefglas, Gratis proefdrams op de beursvloer, Festivalgids, 4 uur toegang"
"Entreeticket Zaterdagmiddag 13:00 - 17:00","Zaterdagmiddagsessie in De Oude Vismijn Gent. Volledig uitverkocht.","entree","42.50","Zaterdag 3 Okt 2026","13:00 - 17:00 uur","zaterdag","middag","De Oude Vismijn Gent","Vrij te boeken voor iedereen","450","450","Ja","sold-out","gent","gent","Gents Festival Team","Festival Host","","Glencairn proefglas, Gratis proefdrams op de beursvloer, Festivalgids, 4 uur toegang"
"Entreeticket Zaterdagavond 19:00 - 23:00","Sfeervolle zaterdagavondproeverij in De Oude Vismijn met internationale en Belgische distilleerders.","entree","42.50","Zaterdag 3 Okt 2026","19:00 - 23:00 uur","zaterdag","avond","De Oude Vismijn Gent","Vrij te boeken voor iedereen","450","0","Nee","none","gent","gent","Gents Festival Team","Festival Host","Ons team heet u van harte welkom in het historische hart van Gent.","Glencairn proefglas, Gratis proefdrams op de beursvloer, Festivalgids, 4 uur toegang"
"Entreeticket Zondagmiddag 13:00 - 17:00","Gemoedelijke zondagmiddagsessie om ontspannen te genieten van zeldzame whisky's in De Oude Vismijn.","entree","42.50","Zondag 4 Okt 2026","13:00 - 17:00 uur","zondag","middag","De Oude Vismijn Gent","Vrij te boeken voor iedereen","450","0","Nee","none","gent","gent","Gents Festival Team","Festival Host","Ons team heet u van harte welkom in het historische hart van Gent.","Glencairn proefglas, Gratis proefdrams op de beursvloer, Festivalgids, 4 uur toegang"
"Masterclass • Dada Chapel Distillery","Ontdek de innovatieve Gentse distillatiekunst van Dada Chapel met exclusieve vatmonsters.","masterclass","20.00","Vrijdag 2 Okt 2026","20:00 - 20:45 uur","vrijdag","avond","MC-Ruimte (De Oude Vismijn)","Enkel i.c.m. entreeticket","35","0","Nee","none","gent","gent","Dada Chapel Master Distiller","Belgian Craft Pioneer","Pionier in lokale biologische granen en unieke vatlageringen in Gent.","Dada Chapel New Make, Limousin Virgin Oak Single Cask, Rye Cask Strength Special"
"Masterclass • CVH Whisky","Diepgaande masterclass door CVH Whisky over zeldzame single cask selecties.","masterclass","20.00","Zaterdag 3 Okt 2026","12:15 - 13:00 uur","zaterdag","middag","MC-Ruimte (De Oude Vismijn)","Enkel i.c.m. entreeticket","35","0","Nee","none","gent","gent","CVH Brand Specialist","Single Cask Curator","Jarenlange ervaring in het selecteren van uitzonderlijke Schotse vaten.","Highland Single Cask 15Y, Islay Peated Special, Sherry Butt Finish"
"Masterclass • Dada Chapel Distillery","Middagsessie van Dada Chapel Distillery. Ontdek lokale Gentse whisky-innovatie.","masterclass","20.00","Zaterdag 3 Okt 2026","13:45 - 14:30 uur","zaterdag","middag","MC-Ruimte (De Oude Vismijn)","Enkel i.c.m. entreeticket","35","0","Nee","none","gent","gent","Dada Chapel Master Distiller","Belgian Craft Pioneer","Pionier in lokale biologische granen en unieke vatlageringen in Gent.","Dada Chapel Rye, Limousin Virgin Oak Cask 7Y, Experimental Finish"
"Masterclass • Bowmore","Exclusieve Bowmore Islay proeverij onder leiding van Global Ambassador Teddy Joseph.","masterclass","20.00","Zaterdag 3 Okt 2026","19:30 - 20:15 uur","zaterdag","avond","MC-Ruimte (De Oude Vismijn)","Enkel i.c.m. entreeticket","35","0","Nee","none","gent","gent","Teddy Joseph","Global Brand Ambassador (ENG)","Internationaal gerenommeerd Bowmore ambassadeur met diepgaande kennis over de legendarische No. 1 Vaults.","Bowmore 12Y, Bowmore 15Y Dark Oyster, Bowmore 18Y Deep & Complex, Bowmore Cask Strength Single Cask"
"Masterclass • Fuji (Japan)","De elegantie van Japanse distillatie aan de voet van Mount Fuji.","masterclass","20.00","Zaterdag 3 Okt 2026","21:00 - 21:45 uur","zaterdag","avond","MC-Ruimte (De Oude Vismijn)","Enkel i.c.m. entreeticket","35","0","Nee","none","gent","gent","Fuji Brand Ambassador","Japanese Whisky Specialist","Expert in het unieke terroir en de kristalheldere bergwaterbronnen van Mount Fuji.","Fuji Single Grain, Fuji Single Blended, Fuji Masterpiece Special Edition"
"Masterclass • Jura","Reis mee naar het afgelegen eiland Jura en proef 4 uitzonderlijke vatrijpingen.","masterclass","20.00","Zondag 4 Okt 2026","12:15 - 13:00 uur","zondag","middag","MC-Ruimte (De Oude Vismijn)","Enkel i.c.m. entreeticket","35","0","Nee","none","gent","gent","Jura Brand Ambassador","Island Malt Specialist","Vertelt het verhaal van het eiland met 200 inwoners en 1 iconische distilleerderij.","Jura 12Y Sherry Oloroso, Jura Perspective (NAS), Jura 15Y Manzanilla, Jura 18Y"
"Masterclass • Laphroaig","De onmiskenbare turf- en medicinale tonen van Laphroaig onder leiding van Teddy Joseph.","masterclass","20.00","Zondag 4 Okt 2026","13:30 - 14:15 uur","zondag","middag","MC-Ruimte (De Oude Vismijn)","Enkel i.c.m. entreeticket","35","0","Nee","none","gent","gent","Teddy Joseph","Global Brand Ambassador (ENG)","Brengt de rauwe kustlijn en turfgeheimen van Islay tot leven.","Laphroaig 10Y, Laphroaig Quarter Cask, Laphroaig Càirdeas Festival Botteling, Laphroaig 10Y Cask Strength"
"Masterclass • The House of Suntory","Meesterlijke Japanse blend- en distilleerkunst van The House of Suntory.","masterclass","20.00","Zondag 4 Okt 2026","15:00 - 15:45 uur","zondag","middag","MC-Ruimte (De Oude Vismijn)","Enkel i.c.m. entreeticket","35","0","Nee","none","gent","gent","Michael Yona Costa","Brand Ambassador Suntory (ENG)","Erkend kenner van de filosofie van Tsukuriwake en Japanse harmonie.","Yamazaki 12Y, Hakushu Distiller's Reserve, Hibiki Japanese Harmony, Suntory Chita Single Grain"
